"started_at","side","label","net_pnl_ex_funding","notional_usdc","maker_ratio","trend_alignment_5m","bias_1h","market_trend","market_playbook","market_confidence","directional_distance_to_ema21_atr","directional_move_15m_atr","directional_breakout_3bar_atr","session_range_30m_atr"
"2026/5/25 下午 02:04:25","BUY","winner","2.55281","1996.45875","1","up","neutral","up","long_pullback","0.8","-1.7580448354215048","-2.8091737188490202","-2.383841078318797","4.233543491786083"
"2026/5/25 下午 03:19:11","BUY","winner","4.65706569","1994.1357799999998","0","up","up","up","no_trade","0.58","-2.4235943147631307","-5.4122414793708575","-4.0395277186813185","6.095574761123596"
"2026/5/25 下午 05:01:55","BUY","winner","0.618597","1997.2575","0","up","up","up","vwap_reversion","0.66","1.9804385941858167","2.261030191560168","0.39594077087191415","5.730721683677653"
"2026/5/25 下午 05:21:34","BUY","winner","0.47249999","1998.675","1","up","up","up","vwap_reversion","0.66","0.2973246342528314","1.4513029382743283","-0.5905301610905129","6.906200189028354"
"2026/5/25 下午 06:45:57","SELL","winner","1.2298","2000.317","1","up","up","range","vwap_reversion","0.66","0.5735324221432613","1.2347294031883296","-0.9633603035867023","7.9375461633546935"
"2026/5/25 下午 06:53:07","SELL","winner","0.72841999","1999.5129","1","up","up","range","vwap_reversion","0.66","1.0439443169577738","2.5826783203540624","0.07018147609682755","3.747690823556421"
"2026/5/25 下午 07:00:45","BUY","winner","1.18125","1997.2575","1","up","up","range","vwap_reversion","0.66","0.5185043574722088","1.1787208965386153","-1.0103321970329","5.2200496846709115"
"2026/5/25 下午 07:07:43","SELL","winner","0.70949999","1999.3709999999999","1","up","up","range","vwap_reversion","0.66","1.2333419994780925","0.7964918018293959","-0.39230193224420024","4.05378663319079"
"2026/5/25 下午 07:22:20","SELL","winner","0.6149","1999.4655999999998","1","up","up","range","vwap_reversion","0.66","0.14502984845314784","-1.199231787575682","-1.4951461247697733","4.859224905501409"
"2026/5/25 下午 08:50:03","SELL","winner","1.0406","2000.2223999999999","1","up","up","range","no_trade","0.78","-0.23242468698786942","0.6258722989171374","-1.980372050306424","4.511885378763361"
"2026/5/25 下午 09:00:02","BUY","winner","2.2184","1996.2296","1","up","up","range","no_trade","0.58","-0.17853588486085878","-0.3261012812651778","-2.6298490424615744","5.364892046621994"
"2026/5/25 下午 09:33:07","SELL","winner","0.3315","2997.652","1","up","up","range","no_trade","0.58","-0.24455012533373457","1.0554289209101724","-1.5351693395065482","6.87228149638373"
"2026/5/25 下午 10:23:21","BUY","loser","-1.08527456","1998.6885","1","up","up","up","no_trade","0.58","1.4385198381903466","1.5373614488372267","-0.7979637996343687","6.5886919235884"
"2026/5/25 下午 10:38:34","BUY","loser","-1.0408732","1050.39","1","up","up","up","no_trade","0.58","0.5176351174596752","1.846650009651149","-0.7665339662701985","7.086954942698745"
"2026/5/25 下午 10:51:27","BUY","loser","-1.59591778","2023","1","up","up","up","no_trade","0.58","1.343595192496913","1.5313037584151519","-1.5187004353003504","6.030690110301029"
"2026/5/25 下午 10:59:30","BUY","loser","-1.56851641","2006.944","1","up","up","up","no_trade","0.58","1.568946416066105","3.7219899959914478","0.1675259685084304","5.623045551674013"
"2026/5/25 下午 11:10:40","BUY","loser","-0.55218485","2060.094","1","up","up","up","no_trade","0.58","0.7741409274476858","1.5640897835894765","-1.7587000331601699","6.4365538098863135"
"2026/5/25 下午 11:14:52","BUY","winner","9.04906682","7850.192","1","up","up","up","no_trade","0.58","1.0892409457299321","1.6925566107109764","-2.487545321802348","6.40265101728541"
"2026/5/25 下午 11:19:16","SELL","winner","1.7625","2501.5749999999994","1","up","up","up","no_trade","0.58","-0.0718299928639842","-0.8274823855084193","-1.3356645026956642","5.531539859648113"
"2026/5/25 下午 11:34:12","SELL","winner","0.77759999","4498.632","1","up","up","up","no_trade","0.58","0.5118553733799748","2.6800565005112538","-1.8289574767003458","9.609571956788026"
"2026/5/26 上午 12:10:37","BUY","winner","0.98839999","2998.0996","1","up","up","up","long_pullback","0.8","-0.17521903945882095","1.180166187064291","-1.6928613339033427","5.020543041690537"
"2026/5/26 上午 12:17:30","BUY","winner","1.411","2997.6695","1","up","up","range","no_trade","0.58","0.4136632521065912","0.42042488038751696","-0.34474840191764156","4.364010258422472"
"2026/5/26 上午 12:35:28","BUY","winner","0.42329999","2998.2339","1","up","up","up","long_pullback","0.8","0.2408613116745938","1.0497881536305953","-1.0781608064320498","3.4709211926355836"
"2026/5/26 上午 08:15:45","SELL","winner","1.7064","2999.709","1","down","neutral","range","no_trade","0.58","0.5103248144863863","1.9172065203547717","-0.7971542900421723","4.137129859712639"
"2026/5/26 上午 08:19:52","SELL","loser","-0.43936154","1078.91712","0","down","neutral","range","vwap_reversion","0.66","2.0972147579339575","3.2022394140019967","0.39385832364735857","4.572181409296971"
"2026/5/26 上午 08:28:15","SELL","loser","-0.70038515","1016.9565","1","down","neutral","range","vwap_reversion","0.66","1.3961884261060693","2.70360031058762","-0.6822169008024298","6.291555862955997"
"2026/5/26 上午 08:30:43","SELL","loser","-0.57639447","1012.6011999999998","1","down","neutral","range","vwap_reversion","0.66","2.1118576802767945","3.992862663726402","0.5531238322044263","6.455992229012149"
"2026/5/26 上午 08:30:51","SELL","loser","-0.40634758","1071.7504","1","down","neutral","range","vwap_reversion","0.66","2.1118576802767945","3.992862663726402","0.5531238322044263","6.455992229012149"
"2026/5/26 上午 08:45:35","SELL","loser","-3.22940952","1010.2912799999999","0","down","neutral","down","no_trade","0.72","3.579059617513889","5.602979378770217","-0.5005707465295098","9.431207928934656"
"2026/5/26 上午 08:52:53","SELL","loser","-65.10411492","10427.66777","0","down","neutral","down","no_trade","0.72","3.370092685346378","5.995703290137258","1.3573251703631455","7.516315699040163"
"2026/5/26 上午 08:53:12","SELL","loser","-1.55354836","997.89591","0","down","neutral","down","no_trade","0.72","4.904835712131775","7.34693367920078","2.4827873117585963","6.8574320955326815"
"2026/5/26 上午 09:33:01","BUY","winner","2.4752","995.554","1","down","down","down","no_trade","0.78","-1.498754552841136","-2.8061154023786847","-1.9919955016884154","5.889378004992042"
"2026/5/26 上午 09:46:06","SELL","winner","1.67374921","999.4979999999999","1","down","down","down","no_trade","0.58","-0.07625042595653911","1.5419909267043983","-2.5515680480970078","6.353806261501544"
"2026/5/26 上午 09:46:21","SELL","winner","1.3580126099999998","1001.67043","0","down","down","down","no_trade","0.58","-0.07625042595653911","1.5419909267043983","-2.5515680480970078","6.353806261501544"
"2026/5/26 上午 11:09:06","BUY","winner","0.479","998.7149999999999","1","down","down","down","no_trade","0.58","-0.42438943379284505","-1.6147667084001915","-0.7479655315964397","4.865271121413705"
